STATION,STATION_NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781124,-9999,-9999,-9999,-9999,-9999,-2
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781125,-9999,-9999,-9999,-9999,-9999,11
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781126,-9999,-9999,-9999,-9999,-9999,2
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781127,-9999,-9999,-9999,-9999,-9999,16
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781128,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781129,-9999,-9999,-9999,-9999,-9999,22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781130,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781201,-9999,-9999,-9999,-9999,-9999,6
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781202,-9999,-9999,-9999,-9999,-9999,-1
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781203,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781204,-9999,-9999,-9999,-9999,-9999,6
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781205,-9999,-9999,-9999,-9999,-9999,-12
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781206,-9999,-9999,-9999,-9999,-9999,-15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781207,-9999,-9999,-9999,-9999,-9999,-22
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781208,-9999,-9999,-9999,-9999,-9999,0
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781209,-9999,-9999,-9999,-9999,-9999,4
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781210,-9999,-9999,-9999,-9999,-9999,5
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781211,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781212,-9999,-9999,-9999,-9999,-9999,-12
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781213,-9999,-9999,-9999,-9999,-9999,-4
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781214,-9999,-9999,-9999,-9999,-9999,13
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781217,-9999,-9999,-9999,-9999,-9999,19
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781218,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781219,-9999,-9999,-9999,-9999,-9999,4
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781220,-9999,-9999,-9999,-9999,-9999,9
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781221,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781222,-9999,-9999,-9999,-9999,-9999,7
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781223,-9999,-9999,-9999,-9999,-9999,21
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781224,-9999,-9999,-9999,-9999,-9999,4
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781225,-9999,-9999,-9999,-9999,-9999,0
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781226,-9999,-9999,-9999,-9999,-9999,2
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781227,-9999,-9999,-9999,-9999,-9999,2
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781228,-9999,-9999,-9999,-9999,-9999,-24
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781229,-9999,-9999,-9999,-9999,-9999,-28
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781230,-9999,-9999,-9999,-9999,-9999,-34
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19781231,-9999,-9999,-9999,-9999,-9999,-31
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790101,-9999,-9999,-9999,-9999,-9999,-17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790102,-9999,-9999,-9999,-9999,-9999,0
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790103,-9999,-9999,-9999,-9999,-9999,15
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790104,-9999,-9999,-9999,-9999,-9999,-20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790105,-9999,-9999,-9999,-9999,-9999,-23
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790106,-9999,-9999,-9999,-9999,-9999,-23
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790107,-9999,-9999,-9999,-9999,-9999,-20
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790108,-9999,-9999,-9999,-9999,-9999,3
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790109,-9999,-9999,-9999,-9999,-9999,13
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790110,-9999,-9999,-9999,-9999,-9999,23
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790111,-9999,-9999,-9999,-9999,-9999,26
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790112,-9999,-9999,-9999,-9999,-9999,3
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790113,-9999,-9999,-9999,-9999,-9999,10
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790114,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790115,-9999,-9999,-9999,-9999,-9999,17
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790117,-9999,-9999,-9999,-9999,-9999,25
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790119,-9999,-9999,-9999,-9999,-9999,18
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790120,-9999,-9999,-9999,-9999,-9999,19
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790121,-9999,-9999,-9999,-9999,-9999,13
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790123,-9999,-9999,-9999,-9999,-9999,-9
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790124,-9999,-9999,-9999,-9999,-9999,7
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790125,-9999,-9999,-9999,-9999,-9999,-5
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790126,-9999,-9999,-9999,-9999,-9999,-3
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790127,-9999,-9999,-9999,-9999,-9999,-18
GHCND:USS0010E09S,LEWIS LAKE DIVIDE WY US,19790128,-9999,-9999,-9999,-9999,-9999,-24
